label,precision,recall,f1,roc_auc,support
toxic,0.49841626647593745,0.8009852216748768,0.6144737670844618,0.9472262898697535,6090
severe_toxic,0.17335766423357665,0.776566757493188,0.2834410740924913,0.9822523755059759,367
obscene,0.5234375,0.7623950149011108,0.62071247380611,0.9604666456890123,3691
threat,0.25963149078726966,0.7345971563981043,0.38366336633663367,0.9885000093275005,211
insult,0.5050405218422613,0.7455500437700613,0.6021682771623851,0.9619833333202414,3427
identity_hate,0.2883625128733265,0.7865168539325843,0.42200452147701584,0.9817960070144357,712
